iter	RMSE
0	0.1659097697
1	0.1648613669
2	0.1638130508
3	0.1628574595
4	0.1620439995
5	0.1611127564
6	0.1604245018
7	0.159552813
8	0.1588944229
9	0.1581277134
10	0.1575337652
11	0.1567946283
12	0.1562166331
13	0.1554463219
14	0.1549050904
15	0.1542519857
16	0.1536105824
17	0.1528249144
18	0.1522350409
19	0.1515078202
20	0.1507652275
21	0.1503325997
22	0.1497902867
23	0.1491750616
24	0.148573695
25	0.1479459547
26	0.1474459811
27	0.1469267397
28	0.1463456891
29	0.145866611
30	0.1452984252
31	0.144768716
32	0.1443221473
33	0.1438220655
34	0.1432658369
35	0.14276182
36	0.1423277584
37	0.1418700678
38	0.1415391916
39	0.1410836693
40	0.14075241
41	0.1403374838
42	0.1399770725
43	0.1396663774
44	0.1393357973
45	0.1390053414
46	0.1386320811
47	0.1383449006
48	0.1379586274
49	0.1376914447
50	0.137372658
51	0.1371880697
52	0.1369275358
53	0.1366141787
54	0.1363091177
55	0.1360361807
56	0.1357763637
57	0.1355609591
58	0.1353345143
59	0.1350405452
60	0.1348307007
61	0.1345301023
62	0.1342579969
63	0.1340096465
64	0.1337658548
65	0.1335021189
66	0.1333168607
67	0.1330353618
68	0.1328044353
69	0.1325477617
70	0.1323918348
71	0.1322187679
72	0.1320780681
73	0.1318753766
74	0.1316855766
75	0.1314691237
76	0.1312393645
77	0.1309935107
78	0.1307879753
79	0.1306499809
80	0.1305153455
81	0.130315266
82	0.130079412
83	0.1298979967
84	0.1297238578
85	0.1295836519
86	0.129457932
87	0.1293240533
88	0.129173697
89	0.128980401
90	0.1288157198
91	0.1285981036
92	0.1284322653
93	0.1282656681
94	0.128135119
95	0.127967162
96	0.1277678263
97	0.1276338141
98	0.1275259887
99	0.127367221
100	0.1272218656
101	0.1270740317
102	0.1269721846
103	0.1268185936
104	0.1267192402
105	0.1266222456
106	0.1264921652
107	0.1263348556
108	0.1261880442
109	0.1261142324
110	0.1259641785
111	0.1258475821
112	0.1257086214
113	0.1255675198
114	0.1254583029
115	0.1253501773
116	0.1252139683
117	0.1250971031
118	0.1249909464
119	0.1249019415
120	0.124786917
121	0.1246600715
122	0.1245761097
123	0.1244648391
124	0.1243576088
125	0.1242671987
126	0.1241709918
127	0.1240852619
128	0.123969234
129	0.1238523059
130	0.1237427866
131	0.1236517465
132	0.1235877155
133	0.1235129845
134	0.123430946
135	0.1233348146
136	0.1232509454
137	0.1231925069
138	0.1231278652
139	0.1230799031
140	0.1230211671
141	0.1229315558
142	0.1228470043
143	0.122753463
144	0.122643515
145	0.1225513346
146	0.1224537448
147	0.122414484
148	0.1223653007
149	0.1223074979
150	0.1222630318
151	0.1221670888
152	0.1220846096
153	0.1220338115
154	0.1219484555
155	0.1218778194
156	0.1217954414
157	0.1217584587
158	0.1216933389
159	0.1216212077
160	0.1215483504
161	0.121465673
162	0.1213833151
163	0.1213159821
164	0.1212393652
165	0.121206171
166	0.1211138918
167	0.1210657395
168	0.1210052812
169	0.1209507734
170	0.1208946835
171	0.1208350283
172	0.1207708339
173	0.1206995212
174	0.1206255986
175	0.1205636082
176	0.1205309191
177	0.1204821581
178	0.1204077136
179	0.1203561614
180	0.1202799775
181	0.1202390424
182	0.1202285184
183	0.1201656343
184	0.1200948616
185	0.1200185386
186	0.1199792217
187	0.1199374247
188	0.1198973776
189	0.1198296189
190	0.1197560027
191	0.1197038357
192	0.1196483837
193	0.1196298945
194	0.1195760642
195	0.1195041526
196	0.1194555453
197	0.1194035081
198	0.1193443022
199	0.1192943736
200	0.119234052
201	0.1191911956
202	0.1191470944
203	0.1190859439
204	0.1190483452
205	0.1189964389
206	0.1189559942
207	0.1188824957
208	0.1188135568
209	0.1187267005
210	0.118680102
211	0.1186494454
212	0.1185849823
213	0.1185762753
214	0.1185124205
215	0.1184520162
216	0.1183855249
217	0.1183393528
218	0.118296369
219	0.1182247155
220	0.1181874932
221	0.1181371707
222	0.1180578158
223	0.1180015135
224	0.1179471054
225	0.1179136137
226	0.117887466
227	0.1178280037
228	0.1177706045
229	0.1177134673
230	0.1176796343
231	0.1176403891
232	0.1175828837
233	0.1175160865
234	0.1174570482
235	0.1174078621
236	0.1173769125
237	0.1173160844
238	0.1173002337
239	0.1172885777
240	0.1172433965
241	0.1172070114
242	0.1171674965
243	0.1171136886
244	0.1170577894
245	0.1170223978
246	0.1169887002
247	0.1169620087
248	0.116943552
249	0.1168791047
250	0.1168153992
251	0.1167711018
252	0.1167115274
253	0.1166396535
254	0.1165975603
255	0.1165140921
256	0.1164719386
257	0.1164351412
258	0.1164070575
259	0.11636594
260	0.1163162491
261	0.1162476759
262	0.1161976807
263	0.1161424763
264	0.1161047375
265	0.1160700957
266	0.116013824
267	0.1159722391
268	0.1159175893
269	0.1158873879
270	0.1158692165
271	0.1158279769
272	0.1158024626
273	0.1157608816
274	0.1157052435
275	0.1156401029
276	0.1156026301
277	0.1155476665
278	0.1155211733
279	0.1154543809
280	0.1154333804
281	0.1154015904
282	0.1153409007
283	0.115294507
284	0.1152404263
285	0.1151981487
286	0.1151410389
287	0.1150884353
288	0.1150512499
289	0.1150002565
290	0.1149638445
291	0.1149112676
292	0.114881037
293	0.1148401382
294	0.114793721
295	0.1147598784
296	0.1147326275
297	0.1147178044
298	0.1147155892
299	0.1146708771
300	0.1146151883
301	0.1145691806
302	0.1145417012
303	0.1144986849
304	0.1144249591
305	0.1143905264
306	0.1143341422
307	0.1142831976
308	0.1142240735
309	0.1141868877
310	0.114140736
311	0.114123544
312	0.1141004012
313	0.1140543198
314	0.1140324498
315	0.1139978892
316	0.1139549157
317	0.1139217117
318	0.1138783662
319	0.1138366737
320	0.1138139475
321	0.1137776903
322	0.1137198582
323	0.1136838682
324	0.1136586906
325	0.1136408945
326	0.1136106353
327	0.113561784
328	0.1135206452
329	0.1134754374
330	0.1134261993
331	0.1133935026
332	0.1133610418
333	0.1133118435
334	0.1132763926
335	0.113258704
336	0.113225922
337	0.1131945297
338	0.1131762631
339	0.1131376702
340	0.1130873739
341	0.1130648827
342	0.1130431846
343	0.1130077418
344	0.1129938528
345	0.1129892592
346	0.112952302
347	0.1129276092
348	0.1128703316
349	0.1128400447
350	0.1128072266
351	0.1127893581
352	0.1127385528
353	0.112707064
354	0.1126848858
355	0.1126544334
356	0.1126253718
357	0.1125825143
358	0.112552399
359	0.1125104495
360	0.1124757403
361	0.1124494095
362	0.1124127484
363	0.1123681054
364	0.112335442
365	0.1122990541
366	0.1122767261
367	0.1122400718
368	0.1121918243
369	0.1121671721
370	0.1121187522
371	0.1120948559
372	0.1120519863
373	0.1120018071
374	0.1119733784
375	0.1119292485
376	0.1118894742
377	0.1118464602
378	0.1118149941
379	0.1117938957
380	0.1117543644
381	0.1117115945
382	0.1116827675
383	0.1116347141
384	0.1115837796
385	0.1115729518
386	0.1115362609
387	0.1115099266
388	0.1114845346
389	0.111448305
390	0.1114097926
391	0.1113744095
392	0.1113207489
393	0.1112911509
394	0.1112560242
395	0.1112328928
396	0.1112073339
397	0.1111953089
398	0.1111619827
399	0.1111404332
400	0.1111067398
401	0.1110663052
402	0.1110373794
403	0.1110290501
404	0.1110109828
405	0.1109912901
406	0.1109459109
407	0.1109075655
408	0.1108870607
409	0.1108634407
410	0.110814783
411	0.1107781379
412	0.1107482235
413	0.1106908465
414	0.1106596092
415	0.1106268695
416	0.1105905959
417	0.1105436939
418	0.1105283296
419	0.1104923837
420	0.1104546679
421	0.1104119275
422	0.1103921604
423	0.1103594386
424	0.110329916
425	0.110289366
426	0.1102638336
427	0.1102411943
428	0.1102076986
429	0.1101769919
430	0.1101755075
431	0.110138862
432	0.1101136012
433	0.1100784432
434	0.1100630738
435	0.1100415533
436	0.1100032288
437	0.1099755161
438	0.1099513486
439	0.1099091429
440	0.1098924154
441	0.1098585962
442	0.1098206456
443	0.1097745709
444	0.1097479571
445	0.1097258141
446	0.1097007188
447	0.1096617929
448	0.1096233377
449	0.1096003458
450	0.1095853009
451	0.1095657025
452	0.1095298063
453	0.1094884297
454	0.1094600415
455	0.1094381172
456	0.1093972344
457	0.1093627391
458	0.1093177687
459	0.1092942962
460	0.1092614317
461	0.109230228
462	0.1091943726
463	0.1091648989
464	0.1091304196
465	0.109104105
466	0.1090622877
467	0.1090447069
468	0.1090285629
469	0.1089957258
470	0.1089672293
471	0.1089129797
472	0.1088961078
473	0.1088734896
474	0.1088496226
475	0.1088131917
476	0.1087759271
477	0.1087358837
478	0.1086940471
479	0.1086644584
480	0.1086405085
481	0.1086037405
482	0.1085781507
483	0.1085364758
484	0.1084868239
485	0.1084456159
486	0.1084153973
487	0.1083796063
488	0.1083439321
489	0.1083098868
490	0.1082824571
491	0.1082283318
492	0.1081982349
493	0.1081689569
494	0.1081436025
495	0.108125153
496	0.1081017012
497	0.1080685721
498	0.1080337575
499	0.1080023528
500	0.1079652797
501	0.1079427784
502	0.1079201738
503	0.1078876017
504	0.1078469878
505	0.1078077876
506	0.1077722875
507	0.1077450699
508	0.107710808
509	0.1076714439
510	0.1076294941
511	0.1076280821
512	0.107606787
513	0.107580179
514	0.1075347052
515	0.1075059626
516	0.1074791327
517	0.1074569132
518	0.1074280029
519	0.1074051716
520	0.1073746391
521	0.1073446737
522	0.1073040288
523	0.1072723789
524	0.1072420683
525	0.1072217355
526	0.107176879
527	0.1071478671
528	0.1071377808
529	0.1071249798
530	0.107106562
531	0.107082317
532	0.1070662414
533	0.107062291
534	0.1070325517
535	0.106977401
536	0.106934229
537	0.1068935802
538	0.1068472272
539	0.1068238551
540	0.1067879249
541	0.1067750804
542	0.1067470705
543	0.1067160361
544	0.1066900309
545	0.1066568468
546	0.1066281535
547	0.1066072874
548	0.1065692049
549	0.1065221221
550	0.106483521
551	0.1064429743
552	0.1064135164
553	0.1063781848
554	0.1063494876
555	0.1063428077
556	0.1063135344
557	0.1062901024
558	0.1062889148
559	0.1062570519
560	0.1062177511
561	0.1061927089
562	0.1061661577
563	0.1061405685
564	0.1061211433
565	0.1061109871
566	0.1060721977
567	0.1060471059
568	0.1060197311
569	0.1059877983
570	0.1059582945
571	0.1059196606
572	0.1058857317
573	0.1058578578
574	0.1058173967
575	0.1057897589
576	0.1057521564
577	0.1057185509
578	0.1057026026
579	0.1056772799
580	0.1056483938
581	0.1056197326
582	0.1056064487
583	0.1055768539
584	0.1055367092
585	0.10550683
586	0.1054680735
587	0.1054527439
588	0.1054162643
589	0.1054077528
590	0.1053765121
591	0.1053473012
592	0.105317118
593	0.1052828202
594	0.1052546866
595	0.1052480719
596	0.1052252376
597	0.105195342
598	0.1051860228
599	0.1051545287
600	0.1051387244
601	0.1051103308
602	0.1050878782
603	0.1050616403
604	0.1050483531
605	0.1050183977
606	0.1050004012
607	0.1049867121
608	0.1049619885
609	0.1049261913
610	0.104890489
611	0.1048648185
612	0.1048371739
613	0.1047935483
614	0.1047679541
615	0.1047366348
616	0.1047106469
617	0.1047040927
618	0.104673086
619	0.1046465243
620	0.1046227936
621	0.1045939607
622	0.1045751632
623	0.1045583568
624	0.1045291909
625	0.1045147425
626	0.1044924243
627	0.1044698314
628	0.1044334915
629	0.1044222775
630	0.1043985069
631	0.1043795934
632	0.1043570014
633	0.1043479489
634	0.1043365042
635	0.1043021086
636	0.1042755992
637	0.1042400711
638	0.1042121959
639	0.104181494
640	0.1041668178
641	0.1041296411
642	0.1041024321
643	0.1040749133
644	0.1040548063
645	0.1040315927
646	0.1039987778
647	0.1039930562
648	0.1039672174
649	0.1039302233
650	0.1038983274
651	0.1038736542
652	0.1038475212
653	0.1038311366
654	0.1038058379
655	0.1037786958
656	0.1037575462
657	0.1037345561
658	0.103699867
659	0.1036765805
660	0.1036450235
661	0.1036200816
662	0.1035995536
663	0.1035701071
664	0.1035403336
665	0.1035081264
666	0.1034828563
667	0.1034527486
668	0.1034305901
669	0.103418688
670	0.1033838861
671	0.1033737997
672	0.1033479321
673	0.1033139193
674	0.1033093158
675	0.1032650688
676	0.1032087426
677	0.1031752328
678	0.1031641014
679	0.1031371061
680	0.1031113872
681	0.1031030475
682	0.1030921151
683	0.1030680446
684	0.1030436134
685	0.1030348168
686	0.1030096991
687	0.1029807283
688	0.1029522021
689	0.1029300139
690	0.1029013227
691	0.1028930652
692	0.1028689674
693	0.102842711
694	0.1028104219
695	0.1027918311
696	0.1027745443
697	0.1027434045
698	0.1027194264
699	0.1026968001
700	0.1026688525
701	0.1026477258
702	0.1026287757
703	0.1025971042
704	0.1025671361
705	0.1025394099
706	0.102507271
707	0.1024617436
708	0.1024381242
709	0.1024104184
710	0.1023922774
711	0.1023765145
712	0.102358703
713	0.1023340155
714	0.1023128686
715	0.1022981055
716	0.1022816647
717	0.1022645378
718	0.1022434897
719	0.1022293918
720	0.1021995551
721	0.1021785084
722	0.1021674412
723	0.1021209387
724	0.102101322
725	0.1020657927
726	0.1020494812
727	0.102020706
728	0.1019992769
729	0.1019702298
730	0.1019489356
731	0.1019388196
732	0.10189419
733	0.1018624318
734	0.1018406529
735	0.1017997467
736	0.1017615539
737	0.1017417476
738	0.1017266749
739	0.1017024792
740	0.1016821902
741	0.1016612313
742	0.1016499303
743	0.1016263222
744	0.1015996157
745	0.1015690811
746	0.1015432685
747	0.1015127726
748	0.1014923984
749	0.1014490306
750	0.1014302588
751	0.1014091218
752	0.1013745615
753	0.1013527333
754	0.1013342522
755	0.101309291
756	0.1012882372
757	0.1012586725
758	0.101246315
759	0.1012258871
760	0.1011912653
761	0.1011536234
762	0.1011390295
763	0.1011327139
764	0.1011142907
765	0.1010893038
766	0.1010672832
767	0.1010501177
768	0.1010133506
769	0.1009885828
770	0.1009706835
771	0.1009433821
772	0.1009105512
773	0.1008910852
774	0.1008564172
775	0.100832137
