iter	Passed	Remaining
0	10	10368
1	20	9984
2	29	9853
3	39	9815
4	49	9778
5	58	9727
6	68	9710
7	78	9760
8	88	9765
9	98	9727
10	107	9686
11	117	9638
12	126	9604
13	135	9562
14	145	9541
15	154	9513
16	164	9495
17	174	9527
18	184	9548
19	194	9537
20	204	9528
21	214	9515
22	224	9525
23	234	9516
24	243	9501
25	253	9496
26	263	9482
27	272	9475
28	282	9467
29	293	9480
30	303	9490
31	313	9489
32	323	9477
33	333	9474
34	343	9467
35	353	9463
36	363	9449
37	372	9435
38	382	9422
39	392	9420
40	402	9408
41	412	9399
42	421	9387
43	431	9379
44	442	9387
45	452	9377
46	461	9365
47	471	9351
48	481	9342
49	491	9331
50	500	9319
51	510	9304
52	519	9291
53	529	9279
54	539	9266
55	549	9257
56	559	9250
57	569	9241
58	579	9248
59	590	9250
60	600	9239
61	610	9235
62	620	9226
63	629	9213
64	639	9203
65	649	9192
66	658	9174
67	668	9158
68	677	9146
69	687	9131
70	696	9117
71	707	9112
72	730	9277
73	740	9261
74	750	9251
75	759	9237
76	769	9224
77	779	9208
78	788	9190
79	798	9179
80	808	9171
81	817	9156
82	827	9138
83	836	9123
84	846	9107
85	855	9092
86	864	9075
87	874	9060
88	884	9050
89	894	9040
90	903	9027
91	913	9015
92	923	9004
93	932	8991
94	942	8977
95	952	8966
96	962	8960
97	973	8956
98	983	8949
99	993	8942
100	1003	8935
101	1013	8925
102	1023	8914
103	1033	8900
104	1042	8889
105	1052	8877
106	1062	8866
107	1072	8856
108	1082	8846
109	1084	8772
110	1093	8761
111	1103	8750
112	1113	8739
113	1124	8736
114	1134	8729
115	1145	8728
116	1155	8717
117	1164	8705
118	1174	8693
119	1184	8683
120	1193	8673
121	1203	8662
122	1213	8651
123	1223	8640
124	1233	8632
125	1243	8622
126	1253	8613
127	1263	8608
128	1273	8599
129	1283	8589
130	1293	8581
131	1303	8570
132	1318	8593
133	1323	8554
134	1333	8543
135	1343	8532
136	1352	8520
137	1362	8509
138	1372	8500
139	1377	8463
140	1387	8452
141	1397	8443
142	1407	8432
143	1416	8423
144	1427	8417
145	1437	8407
146	1447	8399
147	1450	8352
148	1460	8340
149	1470	8330
150	1479	8320
151	1489	8310
152	1499	8300
153	1509	8289
154	1518	8279
155	1528	8270
156	1538	8262
157	1549	8256
158	1558	8245
159	1568	8236
160	1578	8227
161	1589	8220
162	1599	8212
163	1609	8205
164	1619	8197
165	1629	8187
166	1639	8177
167	1649	8168
168	1659	8158
169	1668	8147
170	1678	8137
171	1688	8126
172	1697	8114
173	1706	8103
174	1716	8091
175	1726	8082
176	1735	8070
177	1744	8058
178	1754	8046
179	1763	8034
180	1773	8023
181	1783	8014
182	1785	7969
183	1795	7962
184	1805	7952
185	1814	7941
186	1824	7932
187	1834	7923
188	1844	7913
189	1853	7901
190	1862	7890
191	1872	7879
192	1881	7867
193	1883	7825
194	1892	7814
195	1902	7804
196	1911	7793
197	1922	7785
198	1932	7777
199	1944	7776
200	1954	7767
201	1963	7757
202	1973	7747
203	1983	7737
204	1992	7727
205	2002	7717
206	2011	7707
207	2021	7697
208	2031	7687
209	2041	7679
210	2052	7673
211	2055	7640
212	2065	7630
213	2068	7597
214	2078	7589
215	2099	7618
216	2108	7608
217	2118	7599
218	2127	7588
219	2137	7578
220	2147	7569
221	2157	7561
222	2167	7553
223	2178	7545
224	2188	7536
225	2191	7505
226	2201	7495
227	2211	7486
228	2221	7477
229	2230	7468
230	2240	7458
231	2250	7450
232	2260	7440
233	2270	7431
234	2279	7421
235	2289	7411
236	2299	7401
237	2308	7391
238	2311	7361
239	2313	7326
240	2323	7317
241	2333	7308
242	2344	7302
243	2354	7295
244	2365	7288
245	2374	7279
246	2384	7269
247	2394	7260
248	2396	7227
249	2405	7217
250	2416	7211
251	2426	7203
252	2436	7195
253	2446	7185
254	2456	7176
255	2465	7166
256	2476	7159
257	2486	7150
258	2496	7142
259	2505	7132
260	2515	7123
261	2525	7113
262	2535	7106
263	2545	7097
264	2555	7088
265	2565	7079
266	2575	7071
267	2586	7063
268	2596	7055
269	2606	7046
270	2611	7026
271	2621	7016
272	2631	7007
273	2641	6998
274	2650	6988
275	2660	6977
276	2669	6967
277	2678	6957
278	2688	6947
279	2697	6936
280	2707	6926
281	2716	6916
282	2726	6906
283	2737	6900
284	2746	6891
285	2756	6880
286	2765	6870
287	2774	6859
288	2784	6849
289	2793	6839
290	2803	6829
291	2813	6821
292	2823	6812
293	2833	6803
294	2842	6793
295	2851	6782
296	2861	6772
297	2871	6763
298	2872	6734
299	2881	6724
300	2891	6714
301	2901	6705
302	2910	6695
303	2920	6686
304	2930	6677
305	2940	6668
306	2950	6659
307	2959	6649
308	2969	6640
309	2979	6631
310	2988	6621
311	2998	6612
312	3008	6602
313	3018	6593
314	3028	6586
315	3038	6577
316	3048	6568
317	3058	6560
318	3068	6550
319	3078	6540
320	3087	6531
321	3097	6521
322	3107	6512
323	3116	6503
324	3126	6493
325	3132	6476
326	3143	6470
327	3153	6460
328	3163	6451
329	3173	6443
330	3183	6435
331	3193	6425
332	3203	6416
333	3212	6406
334	3222	6396
335	3224	6372
336	3234	6364
337	3244	6355
338	3250	6337
339	3259	6328
340	3269	6319
341	3279	6310
342	3289	6301
343	3299	6292
344	3309	6282
345	3310	6257
